,Player,Role,Amount,Player Origin,average_batting_performance_index,average_bowling_performance_index
194,David Wiese,All-Rounder,5000000,Overseas,0.40221795369993646,0.40221795369993646
195,Manoj Tiwary,Batsman,5000000,Indian,0.18639098283470795,0.18639098283470795
196,Parvez Rasool,All-Rounder,5000000,Indian,0.20618027393626598,0.20618027393626598
197,Dasun Shanaka,All-Rounder,5000000,Overseas,0.0,0.0
198,Josh Little,Bowler,5000000,Overseas,0.4555249274445957,0.4555249274445957
199,Mohit Sharma,Bowler,5000000,Indian,0.3676057326844532,0.3676057326844532
200,Barinder Sran,Bowler,5000000,Indian,0.30598958070207943,0.30598958070207943
201,Wayne Parnell,All-Rounder,5000000,Overseas,0.3629169875683467,0.3629169875683467
202,Thisara Perera,All-Rounder,5000000,Overseas,0.3670157171229358,0.3670157171229358
203,Murali Vijay,All-Rounder,5000000,Indian,0.027450178221405608,0.027450178221405608
204,Fidel Edwards,Bowler,5000000,Overseas,0.5362868871357115,0.5362868871357115
205,Oshane Thomas,Bowler,5000000,Overseas,0.44096237235163,0.44096237235163
206,Isuru Udana,Bowler,5000000,Overseas,0.2649173104468923,0.2649173104468923
207,Sisanda Magala,All-Rounder,5000000,Overseas,0.35204388630163846,0.35204388630163846
208,Sandeep Lamichhane,Bowler,4000000,Overseas,0.39642157838666087,0.39642157838666087
209,Tom Kohler-Cadmore,Batsman,4000000,Overseas,0.0,0.0
210,Chris Green,All-Rounder,4000000,Overseas,0.2773099758769164,0.2773099758769164
211,Rajat Patidar,Batsman,2000000,Indian,0.0,0.0
212,Sachin Baby,Batsman,2000000,Indian,0.0,0.0
213,Ricky Bhui,Batsman,2000000,Indian,0.0,0.0
214,Akash Singh,Bowler,2000000,Indian,0.2891691470455285,0.2891691470455285
215,Yash Thakur,Bowler,2000000,Indian,0.3983445910180483,0.3983445910180483
216,Sameer Rizvi,Batsman,2000000,Indian,0.0,0.0
217,Aditya Tare,Wicket Keeper,2000000,Indian,0.0,0.0
218,Pardeep Sahu,Bowler,2000000,Indian,0.14023337697811158,0.14023337697811158
219,Mayank Rawat,Batsman,2000000,Indian,0.0,0.0
220,Dhruv Shorey,Batsman,2000000,Indian,0.0,0.0
221,Shams Mulani,All-Rounder,2000000,Indian,0.02885346626020685,0.02885346626020685
222,Matheesha Pathirana,Bowler,2000000,Overseas,0.5297764898310027,0.5297764898310027
223,Ishank Jaggi,Batsman,2000000,Indian,0.0,0.0
224,Baba Aparajith,All-Rounder,2000000,Indian,0.0,0.0
225,Tanush Kotian,All-Rounder,2000000,Indian,0.0,0.0
226,Aniket Choudhary,Bowler,2000000,Indian,0.6034454956601114,0.6034454956601114
227,Kulwant Khejroliya,Bowler,2000000,Indian,0.17522191191638686,0.17522191191638686
228,Ronit More,Bowler,2000000,Indian,0.5259809182506421,0.5259809182506421
229,Gerald Coetzee,All-Rounder,2000000,Overseas,0.5526501678373256,0.5526501678373256
230,Sumit Kumar,All-Rounder,2000000,Indian,0.020816680268030546,0.020816680268030546
231,Nandre Burger,Bowler,2000000,Overseas,0.7778584300547958,0.7778584300547958
232,Akash Madhwal,Bowler,2000000,Indian,0.6963981031513248,0.6963981031513248
233,Amit Mishra,Bowler,2000000,Indian,0.35874803058757976,0.35874803058757976
234,Nuwan Thushara,Bowler,2000000,Overseas,0.3242291307962854,0.3242291307962854
235,Nuwan Thushara,Bowler,2000000,Overseas,0.5306025704868704,0.5306025704868704
236,Mayank Dagar,All-Rounder,2000000,Indian,0.15088252493294724,0.15088252493294724
237,Lalit Yadav,Bowler,2000000,Indian,0.5114348140219704,0.5114348140219704
238,Sijomon Joseph,All-Rounder,2000000,Indian,0.023971412666235065,0.023971412666235065
239,Abhishek Raut,All-Rounder,2000000,Indian,0.023419230421042575,0.023419230421042575
240,Ashutosh Sharma,All-Rounder,2000000,Indian,0.0,0.0
241,Vivrant Sharma,All-Rounder,2000000,Indian,0.029011508887895693,0.029011508887895693
242,Duan Jansen,All-Rounder,2000000,Overseas,0.12215557814946024,0.12215557814946024
243,Matthew Short,All-Rounder,2000000,Overseas,0.03190030418458897,0.03190030418458897
