,Player,Role,Amount,Player Origin
680,Prithvi Raj,Bowler,2000000,Indian
681,Prithvi Shaw,Batsman,12000000,Indian
683,Priyam Garg,Batsman,2000000,Indian
687,Quinton de Kock,Wicket Keeper,67500000,Overseas
688,Ravikumar SamarthIndia,Batsman,2000000,Indian
689,Ravichandran Ashwin,All-Rounder,50000000,Indian
691,Sai Kishore,Bowler,30000000,Indian
692,Sanjay Yadav,All-Rounder,1000000,Indian
693,Rahul Tripathi,All-Rounder,1000000,Indian
694,Rahul Buddhi,Batsman,2000000,Indian
697,Rahul Chahar,Bowler,52500000,Indian
699,Rahul Sharma,Bowler,3000000,Indian
700,Rahul Shukla,Bowler,4000000,Indian
704,Rahul Tewatia,All-Rounder,90000000,Indian
707,Rahul Tripathi,Batsman,85000000,Indian
708,Raj Bawa,All-Rounder,20000000,Indian
709,Rajagopal Sathish,All-Rounder,2000000,Indian
711,Rajat Bhatia,All-Rounder,6000000,Indian
712,Rajat Patidar,Batsman,2000000,Indian
713,Rajvardhan Hangargekar,All-Rounder,15000000,Indian
714,Ramandeep Singh,All-Rounder,2000000,Indian
715,Ramesh Kumar,Batsman,2000000,Indian
717,Vinay Kumar,Bowler,10000000,Indian
719,Rashid Khan,Bowler,90000000,Overseas
721,Rasikh Salam,Bowler,2000000,Indian
722,Rassie van der Dussen,Batsman,10000000,Overseas
723,Ravi Bishnoi,Bowler,20000000,Indian
724,Ravi Bopara,All-Rounder,10000000,Indian
726,Ravi Rampaul,Bowler,9000000,Overseas
727,Ravichandran Ashwin,All-Rounder,76000000,Overseas
729,Ricky Bhui,Batsman,2000000,Overseas
730,Ricky Ponting,Batsman,30000000,Overseas
732,Riley Meredith,Bowler,10000000,Overseas
735,Rinku Singh,Batsman,5500000,Indian
737,Ripal Patel,All-Rounder,2000000,Indian
738,Rishabh Pant,Wicket Keeper,19000000,Indian
741,Rishi Dhawan,All-Rounder,5500000,Indian
743,Riyan Parag,All-Rounder,38000000,Indian
747,Robin Uthappa,Batsman,20000000,Indian
748,Romario Shepherd,All-Rounder,77500000,Overseas
749,Ronit More,Bowler,1000000,Indian
750,Ross Taylor,Batsman,20000000,Overseas
752,Rovman Powell,Batsman,28000000,Overseas
754,R.P.Singh,Bowler,3000000,Indian
755,Ruturaj Gaikwad,Batsman,2000000,Indian
756,Ryan McLaren,Bowler,3750000,Overseas
757,Ryan ten Doeschate,All-Rounder,10000000,Overseas
760,Sachin Baby,Batsman,2000000,Indian
761,Sachin Rana,Bowler,2000000,Indian
762,Sachithra Senanayake,All-Rounder,46875000,Overseas
763,Sagar Trivedi,All-Rounder,1000000,Indian
767,Sam Billings,Wicket Keeper,20000000,Overseas
769,Sam Curran,All-Rounder,55000000,Overseas
771,Samuel Badree,Bowler,5000000,Overseas
772,Bavanaka Sandeep,All-Rounder,2000000,Overseas
773,Sandeep Lamichhane,Bowler,2000000,Overseas
776,Sandeep Sharma,Bowler,5000000,Indian
777,Sandeep Warrier,Bowler,1000000,Indian
779,Sanjay Yadav,All-Rounder,5000000,Indian
781,Sanju Samson,Wicket Keeper,80000000,Indian
782,Sarabjit Ladda,Bowler,1000000,Indian
783,Sarfaraz Khan,All-Rounder,2000000,Indian
785,Naushad Khan,All-Rounder,2500000,Indian
786,Saurabh Dubey,Bowler,2000000,Indian
788,Saurabh Kumar,All-Rounder,2000000,Indian
792,Saurabh Tiwary,Batsman,5000000,Indian
